,popularity,artist_rank,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,streams
0,1,4961,0.591,0.764,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,8702859
1,2,33,0.741,0.691,-7.395,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353,7359778
2,3,56,0.577,0.684,-6.6,0.0404,0.0117,0.0,0.145,0.424,104.998,227604,4897444
3,4,11,0.762,0.766,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4870261
4,5,217,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4595016
5,6,4,0.808,0.897,-3.712,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,231041,4573991
6,7,4986,0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4325652
7,8,4,0.788,0.859,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,3908106
8,9,33,0.737,0.846,-4.51,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,3902738
9,10,5048,0.714,0.8,-4.808,0.0504,0.127,0.0,0.359,0.589,134.002,211560,3861687
10,11,33,0.593,0.503,-6.725,0.22,0.293,0.0,0.405,0.71,178.781,137704,3657042
11,12,4981,0.563,0.664,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,178147,3586187
12,13,2500,0.803,0.597,-6.035,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,3235023
13,14,4986,0.664,0.609,-6.509,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,3110387
14,15,7,0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,3009321
15,16,40,0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667,2809990
16,17,1242,0.7,0.49,-5.187,0.076,0.186,0.0,0.117,0.569,79.982,161803,2798750
17,18,1249,0.727,0.739,-3.805,0.0411,0.365,0.00137,0.161,0.533,93.005,145800,2756677
18,19,6,0.332,0.225,-8.697,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,2740488
19,20,4960,0.644,0.648,-4.601,0.118,0.276,0.0,0.135,0.44,179.951,206710,2608515
20,21,1,0.666,0.465,-8.545,0.26,0.0503,0.0,0.215,0.292,167.937,291175,2557234
21,22,15,0.78,0.719,-3.613,0.0506,0.302,0.000196,0.0931,0.336,127.962,199604,2548708
22,23,506,0.725,0.86,-3.726,0.182,0.422,0.000284,0.0674,0.791,175.896,230125,2406476
23,24,2,0.924,0.723,-3.142,0.0466,0.0177,2.61e-05,0.113,0.643,126.998,130667,2303625
